dataset,model,macs_per_window,macs_million,params,fp32_weight_kb,int8_weight_kb,cortex_m7_1mac_cycle_ms,cortex_m7_2cycles_mac_ms,mc50_1mac_cycle_ms,mc50_2cycles_mac_ms
ur3,full,792304.0,0.792304,81106,316.8203125,79.205078125,1.6506333333333332,3.3012666666666663,82.53166666666665,165.0633333333333
ur3,proposed_lite,234880.0,0.23488,24442,95.4765625,23.869140625,0.4893333333333334,0.9786666666666668,24.46666666666667,48.93333333333334
cmapss_fd001,full,969168.0,0.969168,33602,131.2578125,32.814453125,2.0191,4.0382,100.955,201.91
cmapss_fd001,proposed_lite,269552.0,0.269552,9650,37.6953125,9.423828125,0.5615666666666667,1.1231333333333333,28.078333333333333,56.156666666666666
cmapss_fd003,full,969168.0,0.969168,33602,131.2578125,32.814453125,2.0191,4.0382,100.955,201.91
cmapss_fd003,proposed_lite,269552.0,0.269552,9650,37.6953125,9.423828125,0.5615666666666667,1.1231333333333333,28.078333333333333,56.156666666666666
xjtu,full,1476304.0,1.476304,75730,295.8203125,73.955078125,3.0756333333333337,6.151266666666667,153.7816666666667,307.5633333333334
xjtu,proposed_lite,415600.0,0.4156,21754,84.9765625,21.244140625,0.8658333333333333,1.7316666666666667,43.291666666666664,86.58333333333333
