dataset,model,confirm_windows,on_time_rate_mean,on_time_rate_std,premature_rate_mean,premature_rate_std,missed_rate_mean,missed_rate_std,false_alert_rate_mean,false_alert_rate_std,median_detection_delay_mean,median_detection_delay_std,positive_units,negative_units
cmapss_fd001,full,1,0.23200000000000004,0.0438178046004133,0.752,0.052153619241621194,0.016,0.021908902300206645,0.032,0.011925695879998878,2.0,0.0,25,75
cmapss_fd001,full,2,0.296,0.05366563145999496,0.6799999999999999,0.0632455532033676,0.024,0.021908902300206645,0.026666666666666665,0.009428090415820633,2.2,0.8366600265340756,25,75
cmapss_fd001,full,3,0.344,0.045607017003965515,0.624,0.0606630035524124,0.032,0.03346640106136302,0.021333333333333336,0.01192569587999888,2.7,1.2041594578792296,25,75
cmapss_fd001,lstm,1,0.256,0.15899685531481433,0.712,0.16346253393362037,0.032,0.033466401061363026,0.029333333333333333,0.017384539747207065,2.5,0.7071067811865476,25,75
cmapss_fd001,lstm,2,0.312,0.18846750383023594,0.624,0.19514097468240746,0.064,0.03577708763999664,0.026666666666666665,0.013333333333333334,2.6,1.3416407864998738,25,75
cmapss_fd001,lstm,3,0.368,0.09549869109050658,0.544,0.1589968553148143,0.088,0.07155417527999328,0.024,0.01115546702045434,2.2,1.0954451150103321,25,75
cmapss_fd001,proposed_lite,1,0.256,0.045607017003965515,0.712,0.059329587896765346,0.032,0.05215361924162119,0.032,0.007302967433402215,3.6,1.3874436925511608,25,75
cmapss_fd001,proposed_lite,2,0.288,0.05215361924162119,0.648,0.10353743284435826,0.064,0.0726636084983398,0.029333333333333333,0.005962847939999439,4.4,1.387443692551161,25,75
cmapss_fd001,proposed_lite,3,0.32,0.07483314773547882,0.584,0.10430723848324236,0.096,0.07266360849833982,0.029333333333333333,0.005962847939999439,4.2,1.0954451150103321,25,75
cmapss_fd001,tcn,1,0.312,0.017888543819998305,0.672,0.017888543819998333,0.016,0.021908902300206645,0.029333333333333333,0.01738453974720706,2.4,0.9617692030835673,25,75
cmapss_fd001,tcn,2,0.376,0.06066300355241239,0.584,0.06693280212272605,0.04,0.04,0.026666666666666665,0.013333333333333332,2.7,1.4832396974191326,25,75
cmapss_fd001,tcn,3,0.45599999999999996,0.03577708763999661,0.488,0.0438178046004133,0.05600000000000001,0.03577708763999663,0.024,0.011155467020454338,3.1,1.710263137648707,25,75
cmapss_fd001,timesnet,1,0.22400000000000003,0.0726636084983398,0.768,0.08671793355471522,0.008,0.01788854381999832,0.032,0.007302967433402214,3.3,1.5652475842498528,25,75
cmapss_fd001,timesnet,2,0.32,0.07483314773547882,0.664,0.09208691546577066,0.016,0.021908902300206645,0.024,0.00596284793999944,2.1,0.6519202405202649,25,75
cmapss_fd001,timesnet,3,0.42400000000000004,0.10430723848324237,0.5439999999999999,0.12198360545581521,0.032,0.03346640106136302,0.024,0.00596284793999944,2.2,0.447213595499958,25,75
cmapss_fd003,full,1,0.17,0.09746794344808964,0.8300000000000001,0.09746794344808968,0.0,0.0,0.0475,0.018540496217739157,3.2,2.7748873851023212,20,80
cmapss_fd003,full,2,0.22000000000000003,0.0758287544405155,0.78,0.0758287544405155,0.0,0.0,0.045,0.014252192813739226,1.9,1.2449899597988732,20,80
cmapss_fd003,full,3,0.32999999999999996,0.1036822067666386,0.67,0.10368220676663861,0.0,0.0,0.0375,0.0125,1.5,0.5,20,80
cmapss_fd003,lstm,1,0.19,0.07416198487095663,0.8099999999999999,0.07416198487095663,0.0,0.0,0.0375,0.017677669529663688,1.6,0.6519202405202649,20,80
cmapss_fd003,lstm,2,0.30999999999999994,0.04183300132670377,0.6900000000000001,0.041833001326703756,0.0,0.0,0.0375,0.017677669529663688,0.8,0.5700877125495689,20,80
cmapss_fd003,lstm,3,0.42000000000000004,0.04472135954999578,0.58,0.04472135954999578,0.0,0.0,0.0325,0.011180339887498949,1.3,0.4472135954999579,20,80
cmapss_fd003,proposed_lite,1,0.17,0.07582875444051551,0.8300000000000001,0.07582875444051553,0.0,0.0,0.0725,0.016298006013006613,3.5,2.179449471770337,20,80
cmapss_fd003,proposed_lite,2,0.25,0.07905694150420949,0.75,0.07905694150420949,0.0,0.0,0.065,0.022360679774997894,3.1,1.51657508881031,20,80
cmapss_fd003,proposed_lite,3,0.35,0.050000000000000024,0.65,0.04999999999999998,0.0,0.0,0.057499999999999996,0.018957188610128878,1.9,1.2942179105544784,20,80
cmapss_fd003,tcn,1,0.32,0.12549900398011135,0.6799999999999999,0.12549900398011132,0.0,0.0,0.027500000000000004,0.005590169943749473,2.3,0.6708203932499369,20,80
cmapss_fd003,tcn,2,0.35,0.12747548783981966,0.65,0.12747548783981963,0.0,0.0,0.025,0.008838834764831842,3.0,0.7071067811865476,20,80
cmapss_fd003,tcn,3,0.39,0.11401754250991382,0.6,0.13228756555322954,0.01,0.0223606797749979,0.02,0.0068465319688145775,3.6,0.8944271909999159,20,80
cmapss_fd003,timesnet,1,0.13999999999999999,0.07416198487095663,0.86,0.07416198487095663,0.0,0.0,0.034999999999999996,0.01629800601300662,1.2,0.4472135954999579,20,80
cmapss_fd003,timesnet,2,0.19,0.10246950765959598,0.8099999999999999,0.10246950765959599,0.0,0.0,0.027500000000000004,0.005590169943749473,1.9,0.223606797749979,20,80
cmapss_fd003,timesnet,3,0.32999999999999996,0.09082951062292474,0.67,0.09082951062292471,0.0,0.0,0.027500000000000004,0.005590169943749473,1.3,0.6708203932499369,20,80
ur3,full,1,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.8545454545454545,0.2370619056437327,0.0,0.0,25,11
ur3,full,2,0.8880000000000001,0.017888543819998333,0.11199999999999999,0.017888543819998316,0.0,0.0,0.8,0.3042400096487547,1.0,0.0,25,11
ur3,full,3,0.8960000000000001,0.021908902300206656,0.10400000000000001,0.02190890230020664,0.0,0.0,0.6909090909090909,0.26967994498529685,2.0,0.0,25,11
ur3,lstm,1,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.6363636363636364,0.090909090909091,0.0,0.0,25,11
ur3,lstm,2,0.8880000000000001,0.017888543819998333,0.11199999999999999,0.017888543819998316,0.0,0.0,0.6181818181818182,0.0760600024121888,1.0,0.0,25,11
ur3,lstm,3,0.9199999999999999,0.02828427124746188,0.08,0.0282842712474619,0.0,0.0,0.5818181818181818,0.08131156281817419,2.0,0.0,25,11
ur3,proposed_lite,1,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.9818181818181818,0.0406557814090871,0.0,0.0,25,11
ur3,proposed_lite,2,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.9454545454545455,0.08131156281817416,1.0,0.0,25,11
ur3,proposed_lite,3,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.8727272727272727,0.10365231137264891,2.0,0.0,25,11
ur3,tcn,1,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.9454545454545455,0.08131156281817412,0.0,0.0,25,11
ur3,tcn,2,0.8960000000000001,0.021908902300206666,0.10400000000000001,0.021908902300206638,0.0,0.0,0.8545454545454545,0.10365231137264888,1.0,0.0,25,11
ur3,tcn,3,0.9120000000000001,0.017888543819998333,0.088,0.017888543819998316,0.0,0.0,0.7818181818181819,0.13787046261911912,2.0,0.0,25,11
ur3,timesnet,1,0.8800000000000001,0.0,0.12,0.0,0.0,0.0,0.7818181818181819,0.16514456476895412,0.0,0.0,25,11
ur3,timesnet,2,0.9040000000000001,0.021908902300206666,0.096,0.021908902300206645,0.0,0.0,0.6363636363636364,0.11134044285378084,1.0,0.0,25,11
ur3,timesnet,3,0.9200000000000002,0.0,0.072,0.01788854381999832,0.008,0.01788854381999832,0.509090909090909,0.18851310321207018,2.0,0.0,25,11
xjtu,full,1,0.5,0.0,0.5,0.0,0.0,0.0,,,34.7,2.1965882636488785,4,0
xjtu,full,2,0.5,0.0,0.5,0.0,0.0,0.0,,,35.9,2.4341322889276173,4,0
xjtu,full,3,0.35,0.13693063937629152,0.5,0.0,0.15,0.13693063937629152,,,53.0,16.217274740226856,4,0
xjtu,lstm,1,0.4,0.13693063937629152,0.5,0.1767766952966369,0.1,0.223606797749979,,,43.0,19.656423886353284,4,0
xjtu,lstm,2,0.45,0.11180339887498948,0.45,0.11180339887498948,0.1,0.223606797749979,,,38.9,19.06370897805566,4,0
xjtu,lstm,3,0.4,0.22360679774997896,0.45,0.11180339887498948,0.15,0.33541019662496846,,,31.375,0.2500000000000003,4,0
xjtu,proposed_lite,1,0.5,0.0,0.5,0.0,0.0,0.0,,,34.4,2.484954727957836,4,0
