dataset,configuration,f2_mean,f2_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,brier_mean,brier_std,ece_mean,ece_std
cmapss_fd001,attention_mc,0.81649253976898,0.022547257226220876,0.9912019733434956,0.0021764498069266193,0.8200595672099249,0.027372976749207197,0.01621546226868534,0.001785460728015497,0.017196880393523083,0.00458019506277694
cmapss_fd001,attention_no_mc,0.8174948524712807,0.020037251339969236,0.9914496184250383,0.002512765237592582,0.8261682467554541,0.02449152725383134,0.01609039674002112,0.0014201974509000924,0.01595760232436651,0.0015774682432152342
cmapss_fd001,no_attention_mc,0.8339961216835701,0.008554726325285407,0.9944186111843969,0.0009194713691511553,0.8785264887622217,0.014883188568868713,0.011994470488809264,0.0012494482637698638,0.00949015889454541,0.002196040747763493
cmapss_fd001,no_attention_no_mc,0.8428164925309096,0.01610592457657067,0.9941028102678354,0.0010163012858867017,0.87573705503785,0.008533301262124973,0.01232221494707306,0.0006442318005786312,0.011698690105280584,0.0026305171305837185
cmapss_fd003,attention_mc,0.865259746552621,0.014288919324859628,0.9929733866037062,0.0032035681563148534,0.8914215775538489,0.03297065684526467,0.008779688436592915,0.0013529551174712258,0.013020115566047093,0.004055083130567949
cmapss_fd003,attention_no_mc,0.8684352941912925,0.01563311932428538,0.9934769172399385,0.002312386008526769,0.9095133813626148,0.021366623328172813,0.009569525880993884,0.0014266392895245727,0.012144596973557272,0.003298347740783698
cmapss_fd003,no_attention_mc,0.8942149619319568,0.008991439539934316,0.9977011706407953,0.00042930386876301955,0.9123926822702852,0.031501699847470914,0.007251928827214921,0.0014514598743717822,0.012783154339794978,0.005392656492098534
cmapss_fd003,no_attention_no_mc,0.8807309734490142,0.007524539875991392,0.9972158411425187,0.0009703300636977938,0.9107474645317076,0.021361604834528633,0.008088599562701552,0.0008606776428206795,0.010786090395573138,0.002284484943801168
ur3,attention_mc,0.7119877589887846,0.02818076199100064,0.8231155205404933,0.04178569259111172,0.7535306226950028,0.05877478416177864,0.19593748676376865,0.041227006654159716,0.1857336777387887,0.07605339240103882
ur3,attention_no_mc,0.7214235180260318,0.02079194487983469,0.8226095689520715,0.015100491452200144,0.7374745408000517,0.031209747063581574,0.19258547316781632,0.026364998899679186,0.17604219139758365,0.04978560036603059
ur3,no_attention_mc,0.7466540235889026,0.018119563706403222,0.8516047795306443,0.03418727914841765,0.7596294592908933,0.06088654153126701,0.17360376720908524,0.023440308746337818,0.17242013601989137,0.049882729347649896
ur3,no_attention_no_mc,0.7409017334665067,0.010633809007500246,0.8479520373110766,0.028227694754439644,0.7610589193359546,0.050916226269098044,0.17355715042439854,0.022581328257655395,0.14900394831024483,0.031244015285236452
xjtu,attention_mc,0.5419637321556536,0.009925372386864587,0.6659420881283384,0.016221955105073193,0.4645393830515621,0.029314020474951314,0.26237204265790914,0.06552941644010393,0.2673246541544795,0.10183823005609349
xjtu,attention_no_mc,0.5409902312796536,0.013763092386847305,0.6591270596983795,0.005014756262101836,0.5295741732791039,0.04901113874510178,0.2614080155559805,0.06818501169496322,0.2663062505871057,0.10591799947912202
xjtu,no_attention_mc,0.5906078351724847,0.01871692902961752,0.691034814230396,0.016887547058959812,0.42086783098434327,0.020577284152052858,0.27326907482317886,0.05441389830186118,0.2794995070695877,0.08259162364722769
xjtu,no_attention_no_mc,0.5944314067907291,0.01666223277712539,0.7128619491978851,0.018203923479526016,0.4927499367837651,0.07271234814083632,0.2741644468539911,0.044946551403352575,0.2831390655264258,0.07383109677245976
