config,window,units,dropout,lr,batch,cw_scale,balanced,val_f2_mean,test_f2_mean,test_auc_mean,test_aucpr_mean,test_f2_std,time_s
base,10,64/32,0.15,0.0005,128,1.0,False,0.710559247974285,0.6737890715578713,0.7611261797611757,0.6094135973153842,0.022185250528704865,9
wide96,10,96/48,0.1,0.0005,128,1.0,False,0.7411291256354554,0.6812301680738224,0.7529244382225503,0.5637000118262347,0.03200084928929335,6
wide128,10,128/64,0.15,0.0005,128,1.0,False,0.7307210422499582,0.6681823527359243,0.6507288746191098,0.4436517799119183,0.008091825824353045,5
balanced,10,96/48,0.1,0.0005,128,1.0,True,0.7228280617443501,0.6772738905423594,0.7385257407625794,0.5669480742665005,0.0004188941804341601,6
cw2,10,96/48,0.1,0.0005,128,2.0,False,0.7065500285704659,0.6732023665365772,0.742489662229763,0.5634076858660907,0.002371804816684877,6
window15,15,96/48,0.1,0.0005,128,1.0,False,0.8268070913148222,0.7572452703397724,0.6465516833687237,0.4982898800062058,0.005647049838416971,5
bal_cw15,10,96/48,0.1,0.0005,128,1.5,True,0.7057663391482492,0.6444671193746124,0.7370383191755652,0.5672180372569202,0.05115875499150922,6
lr1e3_b64,10,96/48,0.1,0.001,64,1.0,False,0.748787472870557,0.7111106820112767,0.7977087620924332,0.6449729977890196,0.0033770579519091606,12
