dataset,seed_a,seed_b,kind,mean_spearman,mean_jsd
cmapss_fd001,1,1,randomized_attn,0.37429755248995206,
cmapss_fd001,2,2,randomized_attn,0.13239277860877544,
cmapss_fd001,3,3,randomized_attn,0.23056881912645563,
cmapss_fd001,4,4,randomized_attn,0.6448190175279161,
cmapss_fd001,5,5,randomized_attn,0.13354317774433058,
cmapss_fd001,1,2,cross_seed,0.3130443045816711,0.09487099286866604
cmapss_fd001,1,3,cross_seed,0.4157107645644009,0.10311202907422251
cmapss_fd001,1,4,cross_seed,0.4673438163852287,0.07453239360004199
cmapss_fd001,1,5,cross_seed,0.6322217581866915,0.07865539205134096
