dataset,seed_a,seed_b,kind,mean_spearman,mean_jsd
cmapss_fd003,1,1,randomized_attn,0.02991015007192735,
cmapss_fd003,2,2,randomized_attn,-0.3087080751433097,
cmapss_fd003,3,3,randomized_attn,0.6054235771186354,
cmapss_fd003,4,4,randomized_attn,0.27924874492035695,
cmapss_fd003,5,5,randomized_attn,-0.05443798954851988,
cmapss_fd003,1,2,cross_seed,0.5412640923298855,0.0831423903388643
cmapss_fd003,1,3,cross_seed,0.5045480961114422,0.11445781980681734
cmapss_fd003,1,4,cross_seed,0.6529335305729458,0.08256336970621816
cmapss_fd003,1,5,cross_seed,0.3395500919955251,0.19228213828874366
