dataset,proposed,baseline,metric,proposed_value,baseline_value,diff_mean,diff_sd,ci_low,ci_high,ci_includes_zero,n_bootstrap,n_units
cmapss_fd001,full,lstm,f2,0.8652246256239601,0.895937673900946,-0.03115922442570712,0.013415246315334377,-0.06027567920776961,-0.007775303046340154,False,5000,100
cmapss_fd001,full,lstm,auc_roc,0.9947899871994058,0.9970108536335122,-0.00225263357781057,0.001053746818660762,-0.004465301573727218,-0.00041445871440732587,False,5000,100
cmapss_fd001,full,lstm,auc_pr,0.877608548519255,0.9201263237791656,-0.04347430484075755,0.02588876199197245,-0.09929220760611583,0.0008912340760823359,True,5000,100
cmapss_fd001,full,tcn,f2,0.8652246256239601,0.8416389811738649,0.024836318602165165,0.02631665990989239,-0.024200162300425716,0.07993250788747366,True,5000,100
cmapss_fd001,full,tcn,auc_roc,0.9947899871994058,0.9927315710530688,0.0020435266674577925,0.0017753392087882557,-0.001151850686445563,0.0058124309654376954,True,5000,100
cmapss_fd001,full,tcn,auc_pr,0.877608548519255,0.8743550149636624,0.00256385443468693,0.025123706597332346,-0.047519978174218075,0.05292561372320031,True,5000,100
cmapss_fd001,full,timesnet,f2,0.8652246256239601,0.8849557522123894,-0.019411960809281207,0.014337636549466317,-0.04804745868720594,0.00705553797937733,True,5000,100
cmapss_fd001,full,timesnet,auc_roc,0.9947899871994058,0.9969412320816111,-0.002217821814677863,0.0010469777900656125,-0.004434030918032278,-0.0002969355990249472,False,5000,100
cmapss_fd001,full,timesnet,auc_pr,0.877608548519255,0.920355853001618,-0.044825879871185643,0.031400253680679314,-0.11368395631066752,0.008745453042729329,True,5000,100
cmapss_fd001,proposed_lite,lstm,f2,0.8065425831923294,0.895937673900946,-0.0907327277005369,0.02788031104039848,-0.15072019965751787,-0.04118967762285578,False,5000,100
cmapss_fd001,proposed_lite,lstm,auc_roc,0.9922988792151575,0.9970108536335122,-0.004686815629984022,0.002004312478513154,-0.009202048632582902,-0.0013754640591353967,False,5000,100
cmapss_fd001,proposed_lite,lstm,auc_pr,0.8286280899544591,0.9201263237791656,-0.09097251908953795,0.03901951232389416,-0.1779572116743151,-0.027081240171759623,False,5000,100
cmapss_fd001,proposed_lite,tcn,f2,0.8065425831923294,0.8416389811738649,-0.03473718467266462,0.02458073492907816,-0.08547863050551183,0.012446658292558185,True,5000,100
cmapss_fd001,proposed_lite,tcn,auc_roc,0.9922988792151575,0.9927315710530688,-0.00039065538471565945,0.0012292556858158343,-0.00274754198500638,0.0020509380190988683,True,5000,100
cmapss_fd001,proposed_lite,tcn,auc_pr,0.8286280899544591,0.8743550149636624,-0.044934359814093466,0.031741187486650536,-0.11147247425946363,0.013044677345078333,True,5000,100
cmapss_fd001,proposed_lite,timesnet,f2,0.8065425831923294,0.8849557522123894,-0.078985464084111,0.02353594535313006,-0.1291393025221144,-0.03538590315085094,False,5000,100
