dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
cmapss_fd003,full,1,high,0.1,3,0.14258024096488953,0.01499131228774786
cmapss_fd003,full,1,low,0.1,3,-0.017710095271468163,0.03451111912727356
cmapss_fd003,full,1,random,0.1,3,0.11764462292194366,0.01440131664276123
cmapss_fd003,full,1,high,0.2,6,0.47146448493003845,0.02931484393775463
cmapss_fd003,full,1,low,0.2,6,-0.019025463610887527,0.06262483447790146
cmapss_fd003,full,1,random,0.2,6,0.28044867515563965,0.018026940524578094
cmapss_fd003,full,1,high,0.3,9,0.5660494565963745,0.03288804367184639
cmapss_fd003,full,1,low,0.3,9,-0.018367065116763115,0.07337619364261627
cmapss_fd003,full,1,random,0.3,9,0.38154077529907227,0.02138345129787922
cmapss_fd003,full,1,high,0.4,12,0.3885929584503174,0.02897275984287262
cmapss_fd003,full,1,low,0.4,12,-0.015410377644002438,0.07475169748067856
cmapss_fd003,full,1,random,0.4,12,0.4844276010990143,0.022684868425130844
cmapss_fd003,full,1,high,0.5,15,0.3449404537677765,0.026570329442620277
cmapss_fd003,full,1,low,0.5,15,-0.00938136875629425,0.06809714436531067
cmapss_fd003,full,1,random,0.5,15,0.6294837594032288,0.02587396465241909
cmapss_fd003,full,1,high,0.6,18,0.3500829339027405,0.023589564487338066
cmapss_fd003,full,1,low,0.6,18,0.006694680545479059,0.04928124323487282
cmapss_fd003,full,1,random,0.6,18,0.7705838680267334,0.028828434646129608
cmapss_fd003,full,1,high,0.7,21,0.4155316948890686,0.020449198782444
cmapss_fd003,full,1,low,0.7,21,0.050332825630903244,0.022171348333358765
cmapss_fd003,full,1,random,0.7,21,0.8307065367698669,0.02984095923602581
cmapss_fd003,full,1,high,0.8,24,0.6827477812767029,0.025782816112041473
cmapss_fd003,full,1,low,0.8,24,0.18263019621372223,0.01020673755556345
cmapss_fd003,full,1,random,0.8,24,0.8843994140625,0.031102698296308517
cmapss_fd003,full,1,high,0.9,27,0.9240439534187317,0.032276492565870285
cmapss_fd003,full,1,low,0.9,27,0.9331650137901306,0.03211763873696327
cmapss_fd003,full,1,random,0.9,27,0.9477802515029907,0.032663747668266296
cmapss_fd003,full,1,high,1.0,30,0.9645463228225708,0.03316492587327957
cmapss_fd003,full,1,low,1.0,30,0.9645463228225708,0.03316492587327957
cmapss_fd003,full,1,random,1.0,30,0.9645463228225708,0.03316492587327957
cmapss_fd003,full,1,randomized_attn,0.1,3,0.16786065697669983,0.014347145333886147
cmapss_fd003,full,1,randomized_attn,0.2,6,0.21092472970485687,0.018177079036831856
cmapss_fd003,full,1,randomized_attn,0.3,9,0.2588864266872406,0.01817050762474537
cmapss_fd003,full,1,randomized_attn,0.4,12,0.30140364170074463,0.017962656915187836
cmapss_fd003,full,1,randomized_attn,0.5,15,0.3361843228340149,0.017961125820875168
cmapss_fd003,full,1,randomized_attn,0.6,18,0.37039458751678467,0.018156301230192184
cmapss_fd003,full,1,randomized_attn,0.7,21,0.47182828187942505,0.020417315885424614
cmapss_fd003,full,1,randomized_attn,0.8,24,0.6522534489631653,0.02537335827946663
cmapss_fd003,full,1,randomized_attn,0.9,27,0.9389743804931641,0.03227204456925392
cmapss_fd003,full,1,randomized_attn,1.0,30,0.9645463228225708,0.03316492587327957
cmapss_fd003,full,2,high,0.1,3,0.1559184491634369,0.019349655136466026
cmapss_fd003,full,2,low,0.1,3,0.11020851880311966,0.015774020925164223
cmapss_fd003,full,2,random,0.1,3,0.14674042165279388,0.012193465605378151
cmapss_fd003,full,2,high,0.2,6,0.3569766879081726,0.04423332214355469
cmapss_fd003,full,2,low,0.2,6,0.11662677675485611,0.020660821348428726
cmapss_fd003,full,2,random,0.2,6,0.24354757368564606,0.01576528511941433
cmapss_fd003,full,2,high,0.3,9,0.3215729594230652,0.0541108213365078
cmapss_fd003,full,2,low,0.3,9,0.12202267348766327,0.02024197392165661
cmapss_fd003,full,2,random,0.3,9,0.337129145860672,0.01787983998656273
cmapss_fd003,full,2,high,0.4,12,0.2780247926712036,0.05412133038043976
cmapss_fd003,full,2,low,0.4,12,0.1105225682258606,0.01689622923731804
cmapss_fd003,full,2,random,0.4,12,0.42425537109375,0.01927272416651249
cmapss_fd003,full,2,high,0.5,15,0.24842053651809692,0.05078870430588722
cmapss_fd003,full,2,low,0.5,15,0.12955959141254425,0.012700258754193783
cmapss_fd003,full,2,random,0.5,15,0.5709360837936401,0.021814098581671715
cmapss_fd003,full,2,high,0.6,18,0.2508127689361572,0.04230901226401329
cmapss_fd003,full,2,low,0.6,18,0.18832528591156006,0.010749704204499722
cmapss_fd003,full,2,random,0.6,18,0.6664506196975708,0.02326919510960579
cmapss_fd003,full,2,high,0.7,21,0.314041405916214,0.030696993693709373
cmapss_fd003,full,2,low,0.7,21,0.2904082238674164,0.01298439595848322
cmapss_fd003,full,2,random,0.7,21,0.7815350294113159,0.024910539388656616
cmapss_fd003,full,2,high,0.8,24,0.5973419547080994,0.025367042049765587
cmapss_fd003,full,2,low,0.8,24,0.5168326497077942,0.018598418682813644
