dataset,best_baseline,auc_diff_mean,auc_diff_ci_low,auc_diff_ci_high,auc_ci_includes_zero,pr_diff_mean,pr_diff_ci_low,pr_diff_ci_high,pr_ci_includes_zero
ur3,gradient_boosting,-0.023335667296264653,-0.06959265162600466,0.024380873086322294,True,-0.043205486557816,-0.10710186884918049,0.01771087252760907,True
cmapss_fd001,transformer,-0.001736175821675053,-0.0039327215954496645,6.289666400099601e-05,True,-0.03631600362937193,-0.09575340538576671,0.0067751341085817455,True
cmapss_fd003,patchtst,-0.0016223666779582372,-0.004529913082888959,0.00019733794674548484,True,-0.032743647902315286,-0.07623535500711084,0.008588805397857112,True
xjtu,tcn,-0.07051857027273438,-0.28160200250312906,-0.03198898607061873,False,-0.17904874798044618,-0.4854762207754577,-0.03568343598094992,False
