dataset,best_baseline,proposed_auc,best_auc,auc_diff_mean,auc_diff_ci_low,auc_diff_ci_high,auc_ci_includes_zero,pr_diff_mean,pr_diff_ci_low,pr_diff_ci_high,pr_ci_includes_zero
ur3,gradient_boosting,0.8544266959839618,0.8778944805627095,-0.02371379251517261,-0.048016742734537654,-0.0007931234935952759,False,-0.04384679100882323,-0.07882868904780643,-0.010474386727154457,False
cmapss_fd001,transformer,0.9955258992173072,0.9971635324754003,-0.001649659293005736,-0.0028160756155609563,-0.0006704233892386064,False,-0.032747466962434656,-0.05197314490987358,-0.014035449641684867,False
cmapss_fd003,patchtst,0.997600782392578,0.999321943522638,-0.001722464188796948,-0.003312193958167134,-0.0006165588925151267,False,-0.03651936221360608,-0.05481056711998525,-0.019312111956868317,False
xjtu,tcn,0.6605907264829374,0.7188063951537574,-0.05814378224806421,-0.07586350011680755,-0.04135359337591718,False,-0.15912674119653356,-0.2130181782039684,-0.10264297283600804,False
