dataset,f2_lite,f2_lite_no_attention,f2_lite_no_mc,f2_matched_tcn,attn_drop20_high,attn_drop20_random,lite_mc_error_auc,lite_mc_aurc50,matched_tcn_error_auc,matched_tcn_aurc50
cmapss_fd001,0.8187930956265548,0.8253943841378202,0.8207327991471948,0.8605410371744003,0.29993173480033875,0.1709979921579361,0.9752141770175085,0.0020888850410448,0.9777769773611245,0.001564025757139469
cmapss_fd003,0.870071677246321,0.889392817319373,0.8680968073865053,0.9015172785582953,0.2947286069393158,0.1728641241788864,0.970839600855914,0.0020836631173189,0.9896933898075917,0.0006308095510906642
xjtu,0.5385597977246985,0.5924345355284641,0.49351394096248935,0.6377195221048246,0.00811124499887228,0.00356865837238729,0.3626256428237494,0.3663877235770325,0.5652888588580784,0.3378316765409927
ur3,0.7049483794992476,0.7394031456231598,0.712055642615611,0.7235463125681983,-0.004336420446634293,0.010698433965444565,0.8516209041286191,0.2960247995533618,0.8245169114493994,0.2362392459226214
