dataset,best_deep_baseline,f2_retained_pct,parameter_ratio_pct
cmapss_fd001,timesnet,94.33943514497955,35.59966060427196
cmapss_fd003,timesnet,95.10543553700535,35.59966060427196
ur3,timesnet,94.0429893041876,59.7151303413061
xjtu,timesnet,81.35781915672618,66.1879696960477
