dataset,model,family,n,n_std,pos,pos_std,neg,neg_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,f2,f2_std,auc_roc,auc_roc_std,auc_pr,auc_pr_std,brier,brier_std,ece,ece_std,threshold,threshold_std
cmapss_fd001,bilstm,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9844841114162417,0.0028522454579027003,0.7111025376169509,0.04948127435756892,0.8933734939759036,0.04388365744465137,0.790198923488059,0.030613253831644018,0.8484797729867154,0.031082922055721815,0.9956357058403931,0.0007513292863106319,0.8954104016676346,0.016750504652544778,0.01188332148161635,0.001320388607327715,0.01153721844154235,0.0024490081259133426,0.56,0.11352924243950936
cmapss_fd001,full,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9802863868183602,0.0027698142513371536,0.6378502126611274,0.04391860482851611,0.9331325301204819,0.03145632161191306,0.7560858744577911,0.0212160101796359,0.8525690808807074,0.010534072080078297,0.9939287563880829,0.0011167385345347215,0.8558625743330129,0.0163925962014961,0.01372242910255606,0.0023304359669748588,0.014546291010225249,0.005273048211724695,0.41100000000000003,0.12939603291188387
cmapss_fd001,gradient_boosting,machine learning,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9842683405256963,0.0017442024165264026,0.7118655381564384,0.03913965299909091,0.8765060240963856,0.02350341347534062,0.784507676394427,0.014742035625776941,0.8368706172488883,0.007645321514927791,0.9951928761273805,0.00027022873363310545,0.8924896779043356,0.004808787954356618,0.00937578703324196,0.00022098956656109862,0.00410592480051308,0.0009741977924199882,0.3,0.06018490028422596
cmapss_fd001,gru,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9856218124754805,0.0024439519352945143,0.7231208252028123,0.04618098762915309,0.9144578313253012,0.019888643396649627,0.8064396059033829,0.024337267437911612,0.8675561867323639,0.010773673476085583,0.9961804639482505,0.0011517153467477136,0.918015593709568,0.010607195321257592,0.01027221207347522,0.0006220160732810209,0.01040794633689323,0.003221686497300193,0.512,0.1866547615251216
cmapss_fd001,lstm,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9852491173009023,0.002037037657590661,0.7350186454682868,0.06019495393296077,0.8746987951807229,0.06228461217138714,0.7948663514177531,0.01718008294363018,0.8397672353476715,0.03431797390795389,0.9958889084317806,0.0007412917621579141,0.9017235864991031,0.012689564134008223,0.01119733097743012,0.001817530154359576,0.01139292110920167,0.004088439099208054,0.545,0.17122110461817105
cmapss_fd001,patchtst,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.98290506080816,0.002016391606370248,0.68252788759636,0.0364019943545272,0.8978915662650602,0.030829996785519315,0.774348522383556,0.016845284417294392,0.8435957017640823,0.014660051077706158,0.9943739678910288,0.0009804904487428156,0.8956835885416661,0.009856185765772978,0.01221792487936592,0.0006193837511261062,0.01235313957419654,0.0012816966504669318,0.48600000000000004,0.09901739465591108
cmapss_fd001,proposed_lite,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9793154178109063,0.002639992472742349,0.6331163147355661,0.03994855915350049,0.8858433734939759,0.0470164760844839,0.7367046290917767,0.021988943806678436,0.8187930956265548,0.025992271798651934,0.9913999825335406,0.0018020960710952887,0.8303429408915628,0.029014021271755102,0.014999219320283511,0.00223827403033711,0.01584523667944184,0.004294322547482213,0.48200000000000004,0.17699968612652647
cmapss_fd001,random_forest,machine learning,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9792859945076501,0.0023664535548537794,0.643764510147349,0.03790550075870965,0.8280120481927711,0.02103407664060635,0.7232277148229322,0.01749166000855698,0.7822486059170273,0.005082143075987474,0.9916205881921847,0.00013862633869305145,0.8436011224361438,0.0012292624109945154,0.0116676628921762,4.293493867704298e-05,0.01118762836565493,0.00020243922221806164,0.29100000000000004,0.032472210341220144
cmapss_fd001,softmax_attention,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9834052569635151,0.0034203354765471347,0.6926315345018403,0.06324641040962105,0.908433734939759,0.04859271795101741,0.7825990463420276,0.02907589880475895,0.8523636624749195,0.023715661955459134,0.9943895716686699,0.001194430988029573,0.878950361627416,0.02427696385327255,0.01210406729096984,0.0020533445134152998,0.011663461887171581,0.0032141308749914508,0.48200000000000004,0.15468965346424723
cmapss_fd001,tcn,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9852295017653981,0.002804023095123595,0.7171979299131928,0.05187807635942677,0.9144578313253012,0.022682765054526807,0.8024336068908253,0.02783659031174671,0.8655932673670137,0.013254962070711713,0.9961860519938636,0.0013414441822272615,0.9159720303995009,0.018011641856586276,0.01044830561494057,0.0017561794433288238,0.01077139803436806,0.003911958291563814,0.481,0.15444884086468386
cmapss_fd001,timesnet,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9841212240094155,0.0016608656659692497,0.6926082116078552,0.03323741446920113,0.9274096385542169,0.019231560144676196,0.7922616908346243,0.01580687444364193,0.8679224063280057,0.008440160629972885,0.9967031141598023,0.00032358422033842554,0.9197367343502432,0.006711551145492377,0.01062921224872514,0.001531189692216509,0.01005978688562781,0.0023055750663348723,0.442,0.12699956255392728
cmapss_fd001,transformer,deep baseline,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9844743036484896,0.001462092244344512,0.698985789271511,0.02568292391660223,0.9243975903614459,0.0625953893768992,0.7944722100428245,0.02281928417242302,0.8671359450615869,0.042763381339022834,0.9960755430481049,0.0013485198349704392,0.8978035376857033,0.02706829783672279,0.01115498686497338,0.0013430342870713783,0.011972805647778511,0.0025534887081273454,0.45,0.06582805886043837
cmapss_fd001,w/_rolling_stats,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9668007061592782,0.006094729579325669,0.5022602193446669,0.06051790571573755,0.7156626506024096,0.053922299592248826,0.5863572218018733,0.037638617419977816,0.6561467029647237,0.03429335162847558,0.9551206346065527,0.004888730319110501,0.6283768690803742,0.026185009777794768,0.02436066067954638,0.0035167374636551544,0.04111811774380927,0.014464595456105343,0.457,0.196018706590298
cmapss_fd001,w/o_attention,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.98519027069439,0.0018922186646381366,0.7262533470389647,0.04790850757570843,0.8867469879518073,0.044927895904324666,0.796366665457911,0.01806864441046961,0.8476016874452332,0.025446884583970725,0.9962349092232679,0.000603465305816284,0.9096409950130298,0.01278260786017588,0.01061400023822083,0.0012043633608066807,0.01042602236990471,0.0023267781947574908,0.508,0.1671193851379573
cmapss_fd001,w/o_class_weight,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9831306394664574,0.0026337300982245157,0.6946221934278838,0.05384175249107746,0.8783132530120483,0.049537790398214696,0.7731018550139452,0.024361550754813256,0.8321054521262825,0.02775854218109907,0.9926995084962723,0.002906722701356608,0.8863921304803231,0.014690990808476495,0.00970644064543791,0.0006178990817705338,0.00481383214472816,0.001367732780361531,0.21400000000000002,0.1241146423450692
cmapss_fd001,w/o_mc_dropout,proposed/ablation,10196.0,0.0,332.0,0.0,9864.0,0.0,0.9794331110239309,0.001840129379076419,0.623831580068503,0.02561071018359071,0.9370481927710843,0.03665552512428024,0.7481784307647716,0.01531277869020084,0.850752360319633,0.02037274794480893,0.9930421503532377,0.002770258108875439,0.8597579433930657,0.01660946279229684,0.013354256945974299,0.0018141823332389281,0.013956708234684251,0.003342212684946409,0.356,0.13809819372863322
cmapss_fd003,bilstm,deep baseline,13696.0,0.0,291.0,0.0,13405.0,0.0,0.9897707359813085,0.001251196046428825,0.6855522070195462,0.03174218995254961,0.963917525773196,0.017239309213393412,0.80065595459724,0.01877092242800167,0.8910013759710107,0.010606013719297407,0.9975350019418819,0.0014602050289294066,0.9344772510799247,0.01169847949539356,0.00788479128500872,0.0011089776176704444,0.00995785147552107,0.0020974405712546945,0.518,0.1617817459830785
cmapss_fd003,full,proposed/ablation,13696.0,0.0,291.0,0.0,13405.0,0.0,0.9903329439252337,0.0012722051118354805,0.7013738540737504,0.030871728034129263,0.9536082474226804,0.011252510139970534,0.8078532648432957,0.02002216689727504,0.8892650617159248,0.011178984834650955,0.9940265275176852,0.0035742954428798724,0.9149783368593443,0.028901497152835232,0.0074934399452607795,0.001864748866655574,0.008930293132433511,0.002897550602729914,0.508,0.15266521105565165
cmapss_fd003,gradient_boosting,machine learning,13696.0,0.0,291.0,0.0,13405.0,0.0,0.9869012850467289,0.0019694846389324006,0.6331371260276526,0.04130926827794813,0.9271477663230241,0.020605825266225765,0.7514566836225803,0.026861286233966945,0.8474650254210647,0.015934425288818665,0.9973557335507216,0.00037512069878601955,0.9062037964864622,0.009606515662788735,0.00636597785675371,0.000581272205421118,0.00578099146268007,0.001717918012217541,0.24899999999999997,0.0657351588657935
cmapss_fd003,gru,deep baseline,13696.0,0.0,291.0,0.0,13405.0,0.0,0.9905446845794392,0.0015157127219941578,0.7012562674890387,0.03745505317341853,0.9742268041237114,0.012363707414045157,0.8148011062296243,0.02288073446642404,0.9032419139482913,0.009426834869501792,0.9984123736975612,0.00024191334923072356,0.9352531586837765,0.010045123839820376,0.007600156337451851,0.0012046751877068257,0.00900622887381258,0.0017866514631661625,0.521,0.08621033709609432
cmapss_fd003,lstm,deep baseline,13696.0,0.0,291.0,0.0,13405.0,0.0,0.990676109813084,0.0009569820416002228,0.7033720184398782,0.02241477750306359,0.972852233676976,0.009228011024569407,0.8162240856577979,0.014958582705048927,0.903413139119427,0.00867257998071929,0.9980586820068933,0.0008005968835878166,0.9316611850132892,0.012796417819986288,0.00664717515438593,0.0008807718945004154,0.007488253216199151,0.0014256981128731086,0.409,0.151470569198552
