dataset,model,mc_samples,uncertainty,f2,auc_roc,auc_pr,brier,ece,error_auc,error_spearman,aurc50,risk_full,risk_c60,risk_c80
cmapss_fd001,full,5,MC,0.8598901098901099,0.9947835746880467,0.8694386489442829,0.011472588992211458,0.011432741188043022,0.9785037815643937,0.2287364275699457,0.0019398671564256195,0.01941938014907807,0.000132890365448505,0.0006538084341288003
cmapss_fd001,full,5,pseudo_abs,0.8598901098901099,0.9947835746880467,0.8694386489442829,0.011472588992211458,0.011432741188043022,0.9868559570499958,0.23272897050742986,0.0016660040848217226,0.01941938014907807,0.0,0.00021503064186646596
cmapss_fd001,full,5,entropy,0.8598901098901099,0.9947835746880467,0.8694386489442829,0.011472588992211458,0.011432741188043022,0.986855957049996,0.23272897027557038,0.0016660040848217226,0.01941938014907807,0.0,0.00021503064186646596
cmapss_fd001,full,10,MC,0.8714837286265857,0.9945298224528284,0.876582987822681,0.011357067848032438,0.011378595415866694,0.9804895695815684,0.22216178577632656,0.0017276615602896397,0.018144370341310317,0.00012968486577616392,0.0002166377816291161
cmapss_fd001,full,10,pseudo_abs,0.8714837286265857,0.9945298224528284,0.876582987822681,0.011357067848032438,0.011378595415866694,0.9852977940481686,0.22438494297964212,0.0015891544332770672,0.018144370341310317,0.0001299545159194282,0.00010691756655618518
cmapss_fd001,full,10,entropy,0.8714837286265857,0.9945298224528284,0.876582987822681,0.011357067848032438,0.011378595415866694,0.9852977940481686,0.22438494274339396,0.0015891544332770672,0.018144370341310317,0.0001299545159194282,0.00010691756655618518
cmapss_fd001,full,20,MC,0.8652246256239601,0.994647690518766,0.8780450064759173,0.011401691375766914,0.01139642939113282,0.9816626363869047,0.22151921805983588,0.0017187773343619712,0.017948214986269126,0.00012992074834351045,0.0004296916962079708
cmapss_fd001,full,20,pseudo_abs,0.8652246256239601,0.994647690518766,0.8780450064759173,0.011401691375766914,0.01139642939113282,0.9851002439997402,0.2231001924365387,0.0016028446665520854,0.017948214986269126,0.0001278118609406953,0.0002139266231682533
cmapss_fd001,full,20,entropy,0.8652246256239601,0.994647690518766,0.8780450064759173,0.011401691375766914,0.01139642939113282,0.9851002439997402,0.22310019215428525,0.0016028446665520854,0.017948214986269126,0.0001278118609406953,0.0002139266231682533
cmapss_fd001,full,50,MC,0.8630289532293987,0.9949160999228056,0.8770762208651242,0.011396141662904114,0.011395073839570714,0.9831613862264821,0.22041260500695098,0.001575353471722505,0.017653981953707338,0.00012976901116013495,0.0003219920575292476
cmapss_fd001,full,50,pseudo_abs,0.8630289532293987,0.9949160999228056,0.8770762208651242,0.011396141662904114,0.011395073839570714,0.9853539891728789,0.22141284529660635,0.0015109234557792316,0.017653981953707338,0.0,0.00021397239756071467
cmapss_fd001,full,50,entropy,0.8630289532293987,0.9949160999228056,0.8770762208651242,0.011396141662904114,0.011395073839570714,0.9853539891728789,0.2214128449688612,0.0015109234557792316,0.017653981953707338,0.0,0.00021397239756071467
cmapss_fd001,proposed_lite,5,MC,0.807909604519774,0.9919202356872746,0.8325999636868692,0.01548974622706635,0.01588039030777652,0.9665398248850299,0.22521373734127006,0.0024407051126096747,0.019811690859160454,0.00027059937762143147,0.0015313935681470138
cmapss_fd001,proposed_lite,5,pseudo_abs,0.807909604519774,0.9919202356872746,0.8325999636868692,0.01548974622706635,0.01588039030777652,0.9786678938055902,0.23106834533231718,0.0019717521269000406,0.019811690859160454,0.00013095861707700367,0.0006471793765505339
