dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
cmapss_fd003,3,tcn,3,0.72,20,80,0.35,0.65,0.0,0.025,3.0
cmapss_fd003,3,timesnet,1,0.73,20,80,0.15,0.85,0.0,0.0375,1.0
cmapss_fd003,3,timesnet,2,0.73,20,80,0.2,0.8,0.0,0.025,2.0
cmapss_fd003,3,timesnet,3,0.73,20,80,0.35,0.65,0.0,0.025,2.0
cmapss_fd003,4,full,1,0.47000000000000003,20,80,0.3,0.7,0.0,0.0375,1.0
cmapss_fd003,4,full,2,0.47000000000000003,20,80,0.35,0.65,0.0,0.0375,2.0
cmapss_fd003,4,full,3,0.47000000000000003,20,80,0.45,0.55,0.0,0.0375,2.0
cmapss_fd003,4,proposed_lite,1,0.45,20,80,0.1,0.9,0.0,0.0625,3.5
cmapss_fd003,4,proposed_lite,2,0.45,20,80,0.2,0.8,0.0,0.05,2.5
cmapss_fd003,4,proposed_lite,3,0.45,20,80,0.3,0.7,0.0,0.05,1.5
cmapss_fd003,4,lstm,1,0.49,20,80,0.3,0.7,0.0,0.0625,1.0
cmapss_fd003,4,lstm,2,0.49,20,80,0.35,0.65,0.0,0.0625,1.0
cmapss_fd003,4,lstm,3,0.49,20,80,0.4,0.6,0.0,0.05,2.0
cmapss_fd003,4,tcn,1,0.54,20,80,0.15,0.85,0.0,0.0375,3.0
cmapss_fd003,4,tcn,2,0.54,20,80,0.2,0.8,0.0,0.0375,4.0
cmapss_fd003,4,tcn,3,0.54,20,80,0.25,0.75,0.0,0.025,5.0
cmapss_fd003,4,timesnet,1,0.53,20,80,0.15,0.85,0.0,0.025,1.0
cmapss_fd003,4,timesnet,2,0.53,20,80,0.2,0.8,0.0,0.025,2.0
cmapss_fd003,4,timesnet,3,0.53,20,80,0.35,0.65,0.0,0.025,1.0
cmapss_fd003,5,full,1,0.35000000000000003,20,80,0.2,0.8,0.0,0.05,2.0
cmapss_fd003,5,full,2,0.35000000000000003,20,80,0.2,0.8,0.0,0.05,3.0
cmapss_fd003,5,full,3,0.35000000000000003,20,80,0.4,0.6,0.0,0.05,1.5
cmapss_fd003,5,proposed_lite,1,0.37,20,80,0.1,0.9,0.0,0.0875,7.0
cmapss_fd003,5,proposed_lite,2,0.37,20,80,0.15,0.85,0.0,0.0875,5.0
cmapss_fd003,5,proposed_lite,3,0.37,20,80,0.35,0.65,0.0,0.0875,0.0
cmapss_fd003,5,lstm,1,0.74,20,80,0.2,0.8,0.0,0.025,2.5
cmapss_fd003,5,lstm,2,0.74,20,80,0.35,0.65,0.0,0.025,1.0
cmapss_fd003,5,lstm,3,0.74,20,80,0.5,0.5,0.0,0.025,1.0
cmapss_fd003,5,tcn,1,0.5700000000000001,20,80,0.35,0.65,0.0,0.025,2.0
cmapss_fd003,5,tcn,2,0.5700000000000001,20,80,0.35,0.65,0.0,0.025,3.0
cmapss_fd003,5,tcn,3,0.5700000000000001,20,80,0.35,0.65,0.0,0.025,4.0
cmapss_fd003,5,timesnet,1,0.74,20,80,0.25,0.75,0.0,0.025,1.0
cmapss_fd003,5,timesnet,2,0.74,20,80,0.35,0.65,0.0,0.025,2.0
cmapss_fd003,5,timesnet,3,0.74,20,80,0.45,0.55,0.0,0.025,2.0
xjtu,1,full,1,0.88,4,0,0.5,0.5,0.0,,36.0
xjtu,1,full,2,0.88,4,0,0.5,0.5,0.0,,37.0
xjtu,1,full,3,0.88,4,0,0.5,0.5,0.0,,38.0
xjtu,1,proposed_lite,1,0.72,4,0,0.5,0.5,0.0,,33.0
xjtu,1,proposed_lite,2,0.72,4,0,0.5,0.5,0.0,,34.0
xjtu,1,proposed_lite,3,0.72,4,0,0.5,0.5,0.0,,35.0
xjtu,1,lstm,1,0.9,4,0,0.5,0.5,0.0,,29.5
xjtu,1,lstm,2,0.9,4,0,0.5,0.5,0.0,,30.5
xjtu,1,lstm,3,0.9,4,0,0.5,0.5,0.0,,31.5
xjtu,1,tcn,1,0.81,4,0,0.25,0.75,0.0,,48.0
xjtu,1,tcn,2,0.81,4,0,0.5,0.5,0.0,,24.5
xjtu,1,tcn,3,0.81,4,0,0.5,0.5,0.0,,25.5
xjtu,1,timesnet,1,0.66,4,0,0.25,0.75,0.0,,45.0
