dataset,model,threshold_mode,threshold,confirm,failure_sequences,detected,early,missed,false_alarms,non_failure_sequences,detection_rate,early_rate,false_alarm_rate,mean_lead,median_lead
cmapss_fd001,tcn,far20,0.48000000000000004,3,25,24,15,1,1,75,0.96,0.6,0.013333333333333334,-2.0833333333333335,-2.0
cmapss_fd001,timesnet,cost,0.62,1,25,24,20,1,2,75,0.96,0.8,0.02666666666666667,-3.4166666666666665,-3.5
cmapss_fd001,timesnet,far20,0.62,1,25,24,20,1,2,75,0.96,0.8,0.02666666666666667,-3.4166666666666665,-3.5
cmapss_fd001,timesnet,cost,0.62,2,25,24,16,1,2,75,0.96,0.64,0.02666666666666667,-1.5833333333333333,-1.0
cmapss_fd001,timesnet,far20,0.62,2,25,24,16,1,2,75,0.96,0.64,0.02666666666666667,-1.5833333333333333,-1.0
cmapss_fd001,timesnet,cost,0.62,3,25,23,13,2,1,75,0.92,0.52,0.013333333333333334,-0.5652173913043478,0.0
cmapss_fd001,timesnet,far20,0.62,3,25,23,13,2,1,75,0.92,0.52,0.013333333333333334,-0.5652173913043478,0.0
cmapss_fd003,full,cost,0.56,1,20,20,18,0,3,80,1.0,0.9,0.0375,-4.45,-5.0
cmapss_fd003,full,far20,0.56,1,20,20,18,0,3,80,1.0,0.9,0.0375,-4.45,-5.0
cmapss_fd003,full,cost,0.56,2,20,20,17,0,3,80,1.0,0.85,0.0375,-3.45,-4.0
cmapss_fd003,full,far20,0.56,2,20,20,17,0,3,80,1.0,0.85,0.0375,-3.45,-4.0
cmapss_fd003,full,cost,0.56,3,20,20,13,0,2,80,1.0,0.65,0.025,-2.45,-3.0
cmapss_fd003,full,far20,0.56,3,20,20,13,0,2,80,1.0,0.65,0.025,-2.45,-3.0
cmapss_fd003,proposed_lite,cost,0.49,1,20,20,18,0,4,80,1.0,0.9,0.05,-5.2,-6.0
cmapss_fd003,proposed_lite,far20,0.49,1,20,20,18,0,4,80,1.0,0.9,0.05,-5.2,-6.0
cmapss_fd003,proposed_lite,cost,0.49,2,20,20,18,0,4,80,1.0,0.9,0.05,-4.2,-5.0
cmapss_fd003,proposed_lite,far20,0.49,2,20,20,18,0,4,80,1.0,0.9,0.05,-4.2,-5.0
cmapss_fd003,proposed_lite,cost,0.49,3,20,20,14,0,4,80,1.0,0.7,0.05,-3.2,-4.0
cmapss_fd003,proposed_lite,far20,0.49,3,20,20,14,0,4,80,1.0,0.7,0.05,-3.2,-4.0
cmapss_fd003,lstm,cost,0.48000000000000004,1,20,20,18,0,2,80,1.0,0.9,0.025,-4.75,-6.0
cmapss_fd003,lstm,far20,0.48000000000000004,1,20,20,18,0,2,80,1.0,0.9,0.025,-4.75,-6.0
cmapss_fd003,lstm,cost,0.48000000000000004,2,20,20,16,0,2,80,1.0,0.8,0.025,-3.4,-3.5
cmapss_fd003,lstm,far20,0.48000000000000004,2,20,20,16,0,2,80,1.0,0.8,0.025,-3.4,-3.5
cmapss_fd003,lstm,cost,0.48000000000000004,3,20,20,13,0,2,80,1.0,0.65,0.025,-2.4,-2.5
cmapss_fd003,lstm,far20,0.48000000000000004,3,20,20,13,0,2,80,1.0,0.65,0.025,-2.4,-2.5
cmapss_fd003,tcn,cost,0.5700000000000001,1,20,20,17,0,2,80,1.0,0.85,0.025,-3.55,-4.0
cmapss_fd003,tcn,far20,0.5700000000000001,1,20,20,17,0,2,80,1.0,0.85,0.025,-3.55,-4.0
cmapss_fd003,tcn,cost,0.5700000000000001,2,20,20,13,0,2,80,1.0,0.65,0.025,-2.55,-3.0
cmapss_fd003,tcn,far20,0.5700000000000001,2,20,20,13,0,2,80,1.0,0.65,0.025,-2.55,-3.0
cmapss_fd003,tcn,cost,0.5700000000000001,3,20,20,13,0,2,80,1.0,0.65,0.025,-1.55,-2.0
cmapss_fd003,tcn,far20,0.5700000000000001,3,20,20,13,0,2,80,1.0,0.65,0.025,-1.55,-2.0
cmapss_fd003,timesnet,cost,0.52,1,20,20,19,0,2,80,1.0,0.95,0.025,-5.55,-5.0
cmapss_fd003,timesnet,far20,0.52,1,20,20,19,0,2,80,1.0,0.95,0.025,-5.55,-5.0
cmapss_fd003,timesnet,cost,0.52,2,20,20,18,0,2,80,1.0,0.9,0.025,-4.45,-4.0
cmapss_fd003,timesnet,far20,0.52,2,20,20,18,0,2,80,1.0,0.9,0.025,-4.45,-4.0
cmapss_fd003,timesnet,cost,0.52,3,20,20,15,0,2,80,1.0,0.75,0.025,-3.25,-2.0
cmapss_fd003,timesnet,far20,0.52,3,20,20,15,0,2,80,1.0,0.75,0.025,-3.25,-2.0
xjtu,full,cost,0.9500000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-22.0,-29.0
xjtu,full,far20,0.9500000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-22.0,-29.0
xjtu,full,cost,0.9500000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-21.0,-28.0
