dataset,seed_a,seed_b,kind,mean_spearman,mean_jsd
xjtu,1,1,randomized_attn,0.322975707264787,
xjtu,2,2,randomized_attn,0.5770293392997367,
xjtu,3,3,randomized_attn,-0.2729905939029772,
xjtu,4,4,randomized_attn,0.8300187969924813,
xjtu,5,5,randomized_attn,0.2952575187969925,
xjtu,1,2,cross_seed,0.42436649203649834,0.1079760729424558
xjtu,1,3,cross_seed,0.2664521226425452,0.07847366046107077
xjtu,1,4,cross_seed,0.25196190064923096,0.09337482743764604
xjtu,1,5,cross_seed,0.3112166087355087,0.061765897399101474
