dataset,model,params,quant_params,cpu_ms_batch100,cpu_ms_single,gpu_ms_batch100,mc50_cpu_ms_batch100,mc50_cpu_ms_single,quant_cpu_ms_batch100,quant_cpu_ms_single
ur3,proposed,81106,79936.0,0.012837766669690609,0.5544499959796667,0.00681156668967257,0.6418883334845304,27.722499798983335,0.03163700003642589,2.031719998922199
ur3,proposed_lite,24442,23848.0,0.008285466659193238,0.6966999964788556,0.006558266662371656,0.4142733329596619,34.83499982394278,0.028148333309218287,1.8641800037585199
ur3,lstm,39713,,0.007298133336007595,0.3069349972065538,0.004451966650473575,,,,
ur3,bilstm,31554,,0.00979580000663797,0.3982249996624887,0.005359266690599421,,,,
ur3,gru,29954,,0.014609133320239684,0.6109250010922551,0.0044422333206360545,,,,
ur3,transformer,28769,,0.0058409333384285365,0.23644499597139657,0.005857733349936704,,,,
ur3,tcn,32161,,0.02921890001744032,0.827104999916628,0.007005166650439302,,,,
ur3,patchtst,17345,,0.14418836667512852,0.8257200010120869,0.018567999980101984,,,,
ur3,timesnet,40931,,0.13304986665025353,1.046975003555417,0.00768953332832704,,,,
cmapss_fd001,proposed,33602,32816.0,0.029056033313584827,0.6730000022798777,0.00716153330480059,1.4528016656792413,33.65000011399388,0.12605230001887927,6.773509999038652
cmapss_fd001,proposed_lite,9650,9248.0,0.025328533335899312,0.8497700036969036,0.012213599984534085,1.2664266667949655,42.48850018484518,0.10159643332008274,7.9164399998262525
cmapss_fd001,lstm,33569,,0.036853600021762155,0.7315650000236928,0.0036213666511078677,,,,
cmapss_fd001,bilstm,25410,,0.033681933341237404,0.8288550016004592,0.009890533324020604,,,,
cmapss_fd001,gru,25346,,0.05918809996607403,2.1757350012194365,0.007345666643232106,,,,
cmapss_fd001,transformer,27233,,0.017541833299522597,0.2936250006314367,0.00477730001633366,,,,
cmapss_fd001,tcn,29857,,0.04027626667326937,1.0793149995151907,0.00930729997344315,,,,
cmapss_fd001,patchtst,17345,,0.30518509998607135,1.1707550031132996,0.029260966655177374,,,,
cmapss_fd001,timesnet,27107,,0.09362280000156412,0.8389299968257546,0.006603966699913144,,,,
cmapss_fd003,proposed,33602,32816.0,0.029667366645298895,0.6434899987652898,0.013597266670937339,1.4833683322649447,32.17449993826449,0.11515399999916553,6.73654000274837
cmapss_fd003,proposed_lite,9650,9248.0,0.02612933334118376,0.7749699987471104,0.013671933324076235,1.306466667059188,38.74849993735552,0.09918729999723534,6.991449999623001
cmapss_fd003,lstm,33569,,0.023559999962647755,0.38229000056162477,0.006974266686787208,,,,
cmapss_fd003,bilstm,25410,,0.029915000001589455,0.8916850027162582,0.009998666665827237,,,,
cmapss_fd003,gru,25346,,0.06895990002279481,2.7326549985446036,0.006179833319038153,,,,
cmapss_fd003,transformer,27233,,0.020814633346162733,0.3066800010856241,0.005888233349348108,,,,
cmapss_fd003,tcn,29857,,0.04068973334506154,1.5563299995847046,0.014716733324651916,,,,
cmapss_fd003,patchtst,17345,,0.30512653333911055,1.101334998384118,0.028786433317388095,,,,
cmapss_fd003,timesnet,27107,,0.0906599333587413,1.05526500265114,0.009202566657525798,,,,
xjtu,proposed,75730,74560.0,0.027654033348274727,0.7823899970389903,0.00773536666141202,1.3827016674137362,39.11949985194951,0.08073353336658329,4.813904996262863
xjtu,proposed_lite,21754,21160.0,0.018538633361458782,0.7992699975147843,0.012709466662878791,0.9269316680729391,39.96349987573922,0.08128239998283486,4.669024999020621
xjtu,lstm,36129,,0.01952116668689996,0.4598699975758791,0.004355233317861954,,,,
xjtu,bilstm,27970,,0.02189520001411438,0.9054049965925515,0.006645533333842954,,,,
xjtu,gru,27266,,0.048958866662966706,1.6976550046820194,0.010427300003357232,,,,
xjtu,transformer,27873,,0.011872066650539637,0.5081549985334277,0.009852533345110714,,,,
xjtu,tcn,30817,,0.03611986665055156,1.5582250023726374,0.00836683332454413,,,,
xjtu,patchtst,17345,,0.3588743666963031,1.8978600041009486,0.03076923335902393,,,,
xjtu,timesnet,32867,,0.1367108999984339,1.4874099986627698,0.008674733340740204,,,,
