dataset,model,uncertainty,replicate,seed,target_coverage,actual_coverage,risk,n_kept,n_test_windows
cmapss_fd001,full,confidence,seed,3,0.55,0.6599646920360925,0.0,6729,10196
cmapss_fd001,full,confidence,seed,3,0.6,0.710180462926638,0.0,7241,10196
cmapss_fd001,full,confidence,seed,3,0.65,0.7753040408003139,0.0,7905,10196
cmapss_fd001,full,confidence,seed,3,0.7,0.833071792859945,0.0,8494,10196
cmapss_fd001,full,confidence,seed,3,0.75,0.8767163593566104,0.0006712160196890032,8939,10196
cmapss_fd001,full,confidence,seed,3,0.8,0.9077089054531189,0.0016207455429497568,9255,10196
cmapss_fd001,full,confidence,seed,3,0.85,0.9352687328364064,0.004404362416107382,9536,10196
cmapss_fd001,full,confidence,seed,3,0.9,0.9585131424087877,0.009209045328967564,9773,10196
cmapss_fd001,full,confidence,seed,3,0.95,0.9761671243624951,0.014166582939817141,9953,10196
cmapss_fd001,full,confidence,seed,3,1.0,1.0,0.02255786582973715,10196,10196
cmapss_fd001,full,mc_dropout,seed,4,0.5,0.6719301686936053,0.0,6851,10196
cmapss_fd001,full,mc_dropout,seed,4,0.55,0.7287171439780306,0.0,7430,10196
cmapss_fd001,full,mc_dropout,seed,4,0.6,0.770890545311887,0.0,7860,10196
cmapss_fd001,full,mc_dropout,seed,4,0.65,0.8157120439387995,0.0,8317,10196
cmapss_fd001,full,mc_dropout,seed,4,0.7,0.8528834837191055,0.0,8696,10196
cmapss_fd001,full,mc_dropout,seed,4,0.75,0.88652412710867,0.0002212634140944795,9039,10196
cmapss_fd001,full,mc_dropout,seed,4,0.8,0.9142801098469988,0.00021454623471358077,9322,10196
cmapss_fd001,full,mc_dropout,seed,4,0.85,0.9354648881914476,0.0007339064793457748,9538,10196
cmapss_fd001,full,mc_dropout,seed,4,0.9,0.9560612004707728,0.003385309807139926,9748,10196
cmapss_fd001,full,mc_dropout,seed,4,0.95,0.9798940761082777,0.00950855770193174,9991,10196
cmapss_fd001,full,mc_dropout,seed,4,1.0,1.0,0.01618281679089839,10196,10196
cmapss_fd001,full,confidence,seed,4,0.5,0.6952726559435073,0.0,7089,10196
cmapss_fd001,full,confidence,seed,4,0.55,0.7477442134170262,0.0,7624,10196
cmapss_fd001,full,confidence,seed,4,0.6,0.7897214593958415,0.0,8052,10196
cmapss_fd001,full,confidence,seed,4,0.65,0.8339544919576305,0.00011760555098200635,8503,10196
cmapss_fd001,full,confidence,seed,4,0.7,0.8654374264417418,0.00011332728921124207,8824,10196
cmapss_fd001,full,confidence,seed,4,0.75,0.8932914868575912,0.00021958717610891525,9108,10196
cmapss_fd001,full,confidence,seed,4,0.8,0.9164378187524519,0.00021404109589041095,9344,10196
cmapss_fd001,full,confidence,seed,4,0.85,0.9352687328364064,0.0006291946308724832,9536,10196
cmapss_fd001,full,confidence,seed,4,0.9,0.9555708120831699,0.002668582572103048,9743,10196
cmapss_fd001,full,confidence,seed,4,0.95,0.9778344448803452,0.008525576730190571,9970,10196
cmapss_fd001,full,confidence,seed,4,1.0,1.0,0.01618281679089839,10196,10196
cmapss_fd001,full,mc_dropout,seed,5,0.5,0.6647704982346018,0.0,6778,10196
cmapss_fd001,full,mc_dropout,seed,5,0.55,0.7088073754413495,0.0,7227,10196
cmapss_fd001,full,mc_dropout,seed,5,0.6,0.7605923891722244,0.0,7755,10196
cmapss_fd001,full,mc_dropout,seed,5,0.65,0.8138485680659082,0.0,8298,10196
