model,params,f2_mean,f2_sd,pareto
bilstm,25410.0,0.8697405744788631,0.020844467887509613,False
full,33602.0,0.8709170712983161,0.010856528457364626,False
gru,25346.0,0.8853990503403276,0.010100254172793689,True
lstm,33569.0,0.8715901872335492,0.02149527694433659,False
patchtst,17345.0,0.8790624912376727,0.011207493878185062,True
proposed_lite,9650.0,0.8444323864364378,0.02033910604718783,True
tcn,29857.0,0.8782824721160452,0.013346715693442,False
timesnet,27107.0,0.8913859929951675,0.009734264122344169,True
transformer,27233.0,0.8688530157668468,0.04026638208395501,False
