dataset,model,backend,threads,fp32_onnx_bytes,cpu_ms_single,mc10_ms_single_est,mc20_ms_single_est,mc50_ms_single_est
ur3,full,onnxruntime-cpu,1,334062,0.06392199997208081,0.6392199997208081,1.2784399994416162,3.1960999986040406
ur3,proposed_lite,onnxruntime-cpu,1,106060,0.05452199999126606,0.5452199999126606,1.0904399998253211,2.726099999563303
cmapss_fd001,full,onnxruntime-cpu,1,142709,0.0896880000072997,0.8968800000729971,1.7937600001459941,4.484400000364985
cmapss_fd001,proposed_lite,onnxruntime-cpu,1,46210,0.06170200002088678,0.6170200002088678,1.2340400004177356,3.085100001044339
cmapss_fd003,full,onnxruntime-cpu,1,142709,0.07623199999216013,0.7623199999216013,1.5246399998432025,3.8115999996080063
cmapss_fd003,proposed_lite,onnxruntime-cpu,1,46210,0.06417599994165357,0.6417599994165357,1.2835199988330714,3.2087999970826786
xjtu,full,onnxruntime-cpu,1,312564,0.10230799998680595,1.0230799998680595,2.046159999736119,5.115399999340298
xjtu,proposed_lite,onnxruntime-cpu,1,95315,0.05894800000532996,0.5894800000532996,1.1789600001065992,2.947400000266498
