dataset,contrast,mean_f2_difference,sd_f2_difference,min_f2_difference,max_f2_difference,n_seeds
cmapss_fd001,learned_attention_minus_uniform_mean,0.03386134876479256,0.02475879175092296,-0.0053686210027016346,0.06263510925346594,5
cmapss_fd001,terminal_state_minus_uniform_mean,0.031229489445966686,0.03164310315041275,-0.004726429744997929,0.07770726675204642,5
cmapss_fd003,learned_attention_minus_uniform_mean,0.024404252634967084,0.014880406562443578,0.006161318685628969,0.04193253759727744,5
cmapss_fd003,terminal_state_minus_uniform_mean,0.03861155492490327,0.013008450828864069,0.020570075595539583,0.050928202485434726,5
xjtu,learned_attention_minus_uniform_mean,0.01004993220799617,0.005579741259622541,0.00019592860361683506,0.013356631391194806,5
xjtu,terminal_state_minus_uniform_mean,0.06118183677413327,0.022586834242660777,0.039628654565609045,0.08979042390328884,5
ur3,learned_attention_minus_uniform_mean,-0.005515989116251552,0.03680010991678344,-0.05123958005662155,0.03930873291309578,5
ur3,terminal_state_minus_uniform_mean,0.03675184785005696,0.02138052341651004,0.008943964443381414,0.059338377095386474,5
