dataset,model,uncertainty,target_coverage,actual_coverage,risk
cmapss_fd003,full,MC,0.7,0.8833235981308412,0.0
cmapss_fd003,full,MC,0.75,0.9114339953271028,8.010894816951053e-05
cmapss_fd003,full,MC,0.8,0.9299795560747663,0.00015702284682421293
cmapss_fd003,full,MC,0.85,0.9447283878504673,0.0006182858026122575
cmapss_fd003,full,MC,0.9,0.9660484813084113,0.002267402312750359
cmapss_fd003,full,MC,0.95,0.9845940420560748,0.005635891731553578
cmapss_fd003,full,MC,1.0,1.0,0.010587032710280374
cmapss_fd003,full,pseudo_abs,0.5,0.717508761682243,0.0
cmapss_fd003,full,pseudo_abs,0.55,0.766866238317757,0.0
cmapss_fd003,full,pseudo_abs,0.6,0.814982476635514,0.0
cmapss_fd003,full,pseudo_abs,0.65,0.8511244158878505,0.0
cmapss_fd003,full,pseudo_abs,0.7,0.884929906542056,0.0
cmapss_fd003,full,pseudo_abs,0.75,0.9141355140186916,0.0
cmapss_fd003,full,pseudo_abs,0.8,0.9307096962616822,0.00015689966266572527
cmapss_fd003,full,pseudo_abs,0.85,0.9467727803738317,0.0006940695611937996
cmapss_fd003,full,pseudo_abs,0.9,0.9661214953271028,0.0018137847642079807
cmapss_fd003,full,pseudo_abs,0.95,0.9837908878504673,0.0047498886744841914
cmapss_fd003,full,pseudo_abs,1.0,1.0,0.010587032710280374
cmapss_fd003,full,entropy,0.5,0.717508761682243,0.0
cmapss_fd003,full,entropy,0.55,0.766866238317757,0.0
cmapss_fd003,full,entropy,0.6,0.8149094626168224,0.0
cmapss_fd003,full,entropy,0.65,0.8510514018691588,0.0
cmapss_fd003,full,entropy,0.7,0.884929906542056,0.0
cmapss_fd003,full,entropy,0.75,0.9141355140186916,0.0
cmapss_fd003,full,entropy,0.8,0.9307096962616822,0.00015689966266572527
cmapss_fd003,full,entropy,0.85,0.9467727803738317,0.0006940695611937996
cmapss_fd003,full,entropy,0.9,0.9661214953271028,0.0018137847642079807
cmapss_fd003,full,entropy,0.95,0.9837908878504673,0.0047498886744841914
cmapss_fd003,full,entropy,1.0,1.0,0.010587032710280374
cmapss_fd003,proposed_lite,MC,0.5,0.704366238317757,0.0004146366746138696
cmapss_fd003,proposed_lite,MC,0.55,0.7532856308411215,0.0004846370068818455
cmapss_fd003,proposed_lite,MC,0.6,0.7997225467289719,0.0005477951246233908
cmapss_fd003,proposed_lite,MC,0.65,0.8379088785046729,0.0006971070059254096
cmapss_fd003,proposed_lite,MC,0.7,0.8720794392523364,0.000753516409912927
cmapss_fd003,proposed_lite,MC,0.75,0.9039135514018691,0.0008077544426494346
cmapss_fd003,proposed_lite,MC,0.8,0.9240654205607477,0.0012642225031605564
cmapss_fd003,proposed_lite,MC,0.85,0.9410046728971962,0.0022501551831160768
cmapss_fd003,proposed_lite,MC,0.9,0.9591851635514018,0.004567252797442339
cmapss_fd003,proposed_lite,MC,0.95,0.9780957943925234,0.007166318303971335
cmapss_fd003,proposed_lite,MC,1.0,1.0,0.013434579439252336
cmapss_fd003,proposed_lite,pseudo_abs,0.5,0.710572429906542,0.00030826140567200987
cmapss_fd003,proposed_lite,pseudo_abs,0.55,0.7548919392523364,0.0004836057645807138
cmapss_fd003,proposed_lite,pseudo_abs,0.6,0.8045414719626168,0.0005445140212360468
cmapss_fd003,proposed_lite,pseudo_abs,0.65,0.8505403037383178,0.0006009099493518757
cmapss_fd003,proposed_lite,pseudo_abs,0.7,0.8808411214953271,0.0007460212201591511
cmapss_fd003,proposed_lite,pseudo_abs,0.75,0.9077102803738317,0.0007239382239382239
cmapss_fd003,proposed_lite,pseudo_abs,0.8,0.9253066588785047,0.0010258028880296695
cmapss_fd003,proposed_lite,pseudo_abs,0.85,0.9424649532710281,0.0019367833901456461
cmapss_fd003,proposed_lite,pseudo_abs,0.9,0.959331191588785,0.0037293553542887587
cmapss_fd003,proposed_lite,pseudo_abs,0.95,0.9800671728971962,0.007077404455039857
cmapss_fd003,proposed_lite,pseudo_abs,1.0,1.0,0.013434579439252336
cmapss_fd003,proposed_lite,entropy,0.5,0.710572429906542,0.00030826140567200987
cmapss_fd003,proposed_lite,entropy,0.55,0.7548919392523364,0.0004836057645807138
cmapss_fd003,proposed_lite,entropy,0.6,0.8045414719626168,0.0005445140212360468
cmapss_fd003,proposed_lite,entropy,0.65,0.8505403037383178,0.0006009099493518757
cmapss_fd003,proposed_lite,entropy,0.7,0.8808411214953271,0.0007460212201591511
cmapss_fd003,proposed_lite,entropy,0.75,0.9077102803738317,0.0007239382239382239
cmapss_fd003,proposed_lite,entropy,0.8,0.9253066588785047,0.0010258028880296695
cmapss_fd003,proposed_lite,entropy,0.85,0.9424649532710281,0.0019367833901456461
cmapss_fd003,proposed_lite,entropy,0.9,0.959331191588785,0.0037293553542887587
cmapss_fd003,proposed_lite,entropy,0.95,0.9800671728971962,0.007077404455039857
cmapss_fd003,proposed_lite,entropy,1.0,1.0,0.013434579439252336
xjtu,full,MC,0.5,0.39,0.38782051282051283
xjtu,full,MC,0.55,0.44375,0.38309859154929576
xjtu,full,MC,0.6,0.50625,0.37037037037037035
xjtu,full,MC,0.65,0.56875,0.35384615384615387
xjtu,full,MC,0.7,0.6125,0.35306122448979593
xjtu,full,MC,0.75,0.66875,0.3401869158878505
xjtu,full,MC,0.8,0.73125,0.3264957264957265
xjtu,full,MC,0.85,0.79,0.3322784810126582
xjtu,full,MC,0.9,0.865,0.3208092485549133
xjtu,full,MC,0.95,0.91125,0.31550068587105623
xjtu,full,MC,1.0,1.0,0.3025
xjtu,full,pseudo_abs,0.5,0.64375,0.3864077669902913
xjtu,full,pseudo_abs,0.55,0.69125,0.3707052441229656
xjtu,full,pseudo_abs,0.6,0.7425,0.35858585858585856
xjtu,full,pseudo_abs,0.65,0.82625,0.34190620272314676
xjtu,full,pseudo_abs,0.7,0.975,0.2948717948717949
xjtu,full,pseudo_abs,0.75,0.9775,0.29539641943734013
xjtu,full,pseudo_abs,0.8,0.9775,0.29539641943734013
xjtu,full,pseudo_abs,0.85,0.98,0.29591836734693877
xjtu,full,pseudo_abs,0.9,0.98375,0.29733163913595934
xjtu,full,pseudo_abs,0.95,0.99,0.29924242424242425
